Device Serial,Time,RF Utilization,DL Tonnage GB,UL Tonnage GB,DL Capacity,UL Capacity,DL Rate,UL Rate,DL Peak Rate,UL Peak Rate,Active Connections,"Bandwidth, Carrier 0","Bandwidth, Carrier 1","Bandwidth, Carrier 2","Bandwidth, Carrier 3"
s134f1214300022,12/16/24 20,69.488,444.892,91.413,988.649,203.14,552.068,48.756,1101.788,76.467,140,40,40,,
s134f2215005586,12/11/24 04,14.004,116.764,24.354,259.476,54.12,1.55,49.699,57.756,81.993,10,40,40,,
s134f2215006961,12/08/24 17,23.203,176.384,33.492,391.965,74.427,350.515,8.132,765.846,13.652,8,40,40,,
s134f2221900932,12/05/24 20,77.086,500.576,105.12,1112.39,233.599,717.305,37.967,1083.226,82.574,132,40,40,,
s134f2221902329,12/12/24 21,89.779,419.323,87.154,931.828,193.676,666.986,33.414,1299.587,47.097,130,40,40,,
s134f2221902417,12/12/24 22,93.353,413.155,85.48,918.122,189.956,670.185,30.632,1370.455,42.15,151,40,40,,
s134f2222201148,12/07/24 22,10.551,64.456,16.648,143.235,36.996,20.956,27.751,175.511,68.174,11,40,40,,
s134f2222807784,12/05/24 23,87.299,428.698,97.51,952.662,216.689,680.845,49.915,908.677,89.099,136,40,40,,
s134f2222807812,12/10/24 18,73.342,452.661,103.554,1005.914,230.119,667.169,34.603,1253.966,77.501,129,40,40,,
s134f2230303566,12/12/24 21,13.432,98.719,24.134,219.376,53.632,167.885,8.444,585.134,28.475,11,40,40,,
s134f2232104695,12/09/24 21,9.429,66.719,15.515,148.265,34.477,48.928,17.962,201.26,134.069,11,40,40,,
s134f2232115869,12/07/24 03,8.98,75.841,16.852,168.535,37.449,155.159,3.08,407.493,7.714,11,40,40,,
s134f2232208560,12/15/24 18,29.006,196.947,36.716,437.661,81.592,224.975,23.103,716.782,78.012,40,40,40,,
s134f2232304429,12/06/24 20,23.392,178.307,42.769,396.238,95.042,119.356,58.838,352.197,76.86,11,40,40,,
s134f2232409269,12/16/24 20,17.005,137.938,28.94,306.528,64.311,85.961,25.357,226.614,56.614,37,40,40,,
s134f2232409920,12/16/24 20,9.562,73.797,16.581,163.994,36.847,100.726,10.036,230.471,39.539,11,40,40,,
s141f2221200001,12/05/24 20,60.793,452.824,79.748,1006.275,177.217,627.481,36.302,1038.071,69.304,125,40,40,,
s141f2230306007,12/05/24 20,72.3,540.342,111.633,1200.761,248.074,886.231,37.183,2000.488,60.261,128,40,40,,
s141f2230311415,12/18/24 07,11.729,84.717,18.49,188.261,41.089,26.494,13.156,287.405,64.174,37,40,40,,
s141f2230414725,12/05/24 21,74.247,445.109,90.285,989.131,200.633,668.213,29.722,999.765,71.413,116,40,40,,
s141f2230502352,12/05/24 23,25.884,173.055,28.864,384.566,64.142,283.518,7.588,668.732,60.708,39,40,40,,
